
-----------------------------Channel Probabilities------------------------------

Channel 0:	Stay Success:  0.850100573702816	Stay Failure:  0.8032720613898353
Channel 81:	Stay Success:  0.852182684703026	Stay Failure:  0.8211106497648396
Channel 82:	Stay Success:  0.8390148320550453	Stay Failure:  0.7940245019834712
Channel 83:	Stay Success:  0.870422616765415	Stay Failure:  0.7823159305394076
Channel 84:	Stay Success:  0.875796039916305	Stay Failure:  0.7761627921244415
Channel 85:	Stay Success:  0.8408569497314753	Stay Failure:  0.7987687634851058
Channel 86:	Stay Success:  0.8303839199611104	Stay Failure:  0.8083299660384307
Channel 87:	Stay Success:  0.834437886650587	Stay Failure:  0.8154215049869167
Channel 88:	Stay Success:  0.824731910481541	Stay Failure:  0.8151521974037483
Channel 89:	Stay Success:  0.8286750471134136	Stay Failure:  0.7944596558306026
Channel 90:	Stay Success:  0.8659243190552914	Stay Failure:  0.8097058474387622
Channel 91:	Stay Success:  0.8636318639120987	Stay Failure:  0.8112146285658267
Channel 92:	Stay Success:  0.8557117860300496	Stay Failure:  0.7892565207056047
Channel 93:	Stay Success:  0.8342546458361363	Stay Failure:  0.7886765107722862
Channel 94:	Stay Success:  0.8607704862038791	Stay Failure:  0.800527574156882
Channel 95:	Stay Success:  0.8566131125297789	Stay Failure:  0.7939053526158729
Channel 96:	Stay Success:  0.8725394059903714	Stay Failure:  0.7768478265698983
Channel 97:	Stay Success:  0.8516227501395682	Stay Failure:  0.822561895336655
Channel 98:	Stay Success:  0.8392134752813477	Stay Failure:  0.8054315457759359
Channel 99:	Stay Success:  0.8728464805006779	Stay Failure:  0.821881042555774
Channel 100:	Stay Success:  0.847420492061449	Stay Failure:  0.7930016616744241
Channel 101:	Stay Success:  0.8253924541809353	Stay Failure:  0.7932800280579149
Channel 102:	Stay Success:  0.8274863103067169	Stay Failure:  0.7947398619127849
Channel 103:	Stay Success:  0.8399045095891333	Stay Failure:  0.7975834308680173
Channel 104:	Stay Success:  0.8700677128901735	Stay Failure:  0.7795198781833909
Channel 105:	Stay Success:  0.8368959616961055	Stay Failure:  0.7746850638138452
Channel 106:	Stay Success:  0.8308198213459931	Stay Failure:  0.7964172175451176
Channel 107:	Stay Success:  0.838106771434198	Stay Failure:  0.8010314352876422
Channel 108:	Stay Success:  0.8355080198357503	Stay Failure:  0.8131366093059289
Channel 109:	Stay Success:  0.866179978467876	Stay Failure:  0.8237146173664973
Channel 110:	Stay Success:  0.8748003843953681	Stay Failure:  0.774369200846533
Channel 111:	Stay Success:  0.835548870675481	Stay Failure:  0.7979959015293953
Channel 112:	Stay Success:  0.8730492100194123	Stay Failure:  0.7888020182771223
Channel 113:	Stay Success:  0.8323540486462537	Stay Failure:  0.8228866646411882
Channel 114:	Stay Success:  0.8402140592472344	Stay Failure:  0.8053136721100235
Channel 115:	Stay Success:  0.8712416577520732	Stay Failure:  0.7929151558591645
Channel 116:	Stay Success:  0.8404930558337403	Stay Failure:  0.7928659245538927
Channel 117:	Stay Success:  0.8323290088133922	Stay Failure:  0.805327496044856
Channel 118:	Stay Success:  0.8662368740760855	Stay Failure:  0.7773938742220328
Channel 119:	Stay Success:  0.8401888003293925	Stay Failure:  0.7740719862003208
Channel 120:	Stay Success:  0.8564504175921014	Stay Failure:  0.8093450253053005
Channel 121:	Stay Success:  0.8655045179088582	Stay Failure:  0.8127148083979675
Channel 122:	Stay Success:  0.8553972463933479	Stay Failure:  0.8098729416108194
Channel 123:	Stay Success:  0.8390012614547763	Stay Failure:  0.8110159931038886
Channel 124:	Stay Success:  0.8402556635516365	Stay Failure:  0.8140321354862413
Channel 125:	Stay Success:  0.8527902594131289	Stay Failure:  0.8160024468458171
Channel 126:	Stay Success:  0.8614917984846931	Stay Failure:  0.8060243090665569
Channel 127:	Stay Success:  0.8688608726429915	Stay Failure:  0.814327835243359
Channel 128:	Stay Success:  0.8648788182340986	Stay Failure:  0.8155026498676073
Channel 129:	Stay Success:  0.8622633347951002	Stay Failure:  0.8155089492516353
Channel 130:	Stay Success:  0.8274099417033218	Stay Failure:  0.8163584320045855
Channel 131:	Stay Success:  0.8647601669212174	Stay Failure:  0.7916314858055739
Channel 132:	Stay Success:  0.84350165330951	Stay Failure:  0.7861642346951923
Channel 133:	Stay Success:  0.8475846882017414	Stay Failure:  0.8152516684746925
Channel 134:	Stay Success:  0.8425692380571227	Stay Failure:  0.7982641611244004
Channel 135:	Stay Success:  0.8729095977730411	Stay Failure:  0.786232208835087
Channel 136:	Stay Success:  0.8612553761402022	Stay Failure:  0.8194348092615829
Channel 137:	Stay Success:  0.8317777007622348	Stay Failure:  0.8251908188299133
Channel 138:	Stay Success:  0.8405533343687585	Stay Failure:  0.8024166060996307
Channel 139:	Stay Success:  0.8307409185411935	Stay Failure:  0.7824862973271786
Channel 140:	Stay Success:  0.8320812916665437	Stay Failure:  0.7749003830522234
Channel 141:	Stay Success:  0.8258037058737417	Stay Failure:  0.8178141889215683
Channel 142:	Stay Success:  0.8660001123011717	Stay Failure:  0.7956942487930496
Channel 143:	Stay Success:  0.8572496453897072	Stay Failure:  0.7981675534240713
Channel 144:	Stay Success:  0.8673566214842745	Stay Failure:  0.8199540575094754
Channel 145:	Stay Success:  0.8271590259745657	Stay Failure:  0.8252028879537804
Channel 146:	Stay Success:  0.8725554305342044	Stay Failure:  0.81833769312174
Channel 147:	Stay Success:  0.8566057156787276	Stay Failure:  0.7901917352045895
Channel 148:	Stay Success:  0.8610463330285236	Stay Failure:  0.7797560998440287
Channel 149:	Stay Success:  0.8747807170399546	Stay Failure:  0.8140923372535839
Channel 150:	Stay Success:  0.8682184059829504	Stay Failure:  0.796256029638132
Channel 151:	Stay Success:  0.8343548129172447	Stay Failure:  0.8057903054672266
Channel 152:	Stay Success:  0.8642356562673126	Stay Failure:  0.8112344110033735
Channel 153:	Stay Success:  0.8650531811861426	Stay Failure:  0.8209155369925331
Channel 154:	Stay Success:  0.8516743565288857	Stay Failure:  0.8079307181036327
Channel 155:	Stay Success:  0.8347515142548787	Stay Failure:  0.78803901107835
Channel 156:	Stay Success:  0.8242345137736438	Stay Failure:  0.8196822983660967
Channel 157:	Stay Success:  0.8346243792154471	Stay Failure:  0.8203044638879776
Channel 158:	Stay Success:  0.8391924394567558	Stay Failure:  0.7847060514012943
Channel 159:	Stay Success:  0.8347665315847335	Stay Failure:  0.7901845465784452
Channel 160:	Stay Success:  0.8251955923584456	Stay Failure:  0.8126642209707617
Channel 161:	Stay Success:  0.8430180036065378	Stay Failure:  0.8106121901262857
Channel 162:	Stay Success:  0.8439890842814618	Stay Failure:  0.7954032552312023
Channel 163:	Stay Success:  0.8530172745771317	Stay Failure:  0.807090465734982
Channel 164:	Stay Success:  0.8411820834803878	Stay Failure:  0.8072622761036977
Channel 165:	Stay Success:  0.8677569387271795	Stay Failure:  0.7978282640356158
Channel 166:	Stay Success:  0.8340797292213447	Stay Failure:  0.8241994561757586
Channel 167:	Stay Success:  0.8722916446716612	Stay Failure:  0.7963142818203918
Channel 168:	Stay Success:  0.852219626106291	Stay Failure:  0.8177361411434875
Channel 169:	Stay Success:  0.838615019018879	Stay Failure:  0.8073210054926497
Channel 170:	Stay Success:  0.8246610186900607	Stay Failure:  0.7786931120642733
Channel 171:	Stay Success:  0.8695504771836435	Stay Failure:  0.8172604651586785
Channel 172:	Stay Success:  0.8742742481869554	Stay Failure:  0.8160799371281744
Channel 173:	Stay Success:  0.838795890105409	Stay Failure:  0.8005371199586581
Channel 174:	Stay Success:  0.8711581333525918	Stay Failure:  0.799118310448617
Channel 175:	Stay Success:  0.8422669247830925	Stay Failure:  0.7847089970129263
Channel 176:	Stay Success:  0.8507181607449861	Stay Failure:  0.7787393893810266
Channel 177:	Stay Success:  0.8556815834014215	Stay Failure:  0.7919978277967301
Channel 178:	Stay Success:  0.8646596907954398	Stay Failure:  0.8233688659290257
Channel 179:	Stay Success:  0.8736337088483963	Stay Failure:  0.7851354650896822
Channel 180:	Stay Success:  0.8289353915901736	Stay Failure:  0.8052389273996964
Channel 181:	Stay Success:  0.8532445637989999	Stay Failure:  0.8016296992874181
Channel 182:	Stay Success:  0.8339358152675342	Stay Failure:  0.7749105725416098
Channel 183:	Stay Success:  0.8644703572565022	Stay Failure:  0.8138971030582384
Channel 184:	Stay Success:  0.8489359821794628	Stay Failure:  0.824088818819102
Channel 185:	Stay Success:  0.8593671621925575	Stay Failure:  0.7832368494098386
Channel 186:	Stay Success:  0.8397972007280251	Stay Failure:  0.7791595396433565
Channel 187:	Stay Success:  0.8336861133718366	Stay Failure:  0.7980570058466594
Channel 188:	Stay Success:  0.8700381369169427	Stay Failure:  0.81776061768043
Channel 189:	Stay Success:  0.8506386904602039	Stay Failure:  0.8246078093360225
Channel 190:	Stay Success:  0.8597878757556341	Stay Failure:  0.80481929990242
Channel 191:	Stay Success:  0.8645121484177634	Stay Failure:  0.7776519094928641
Channel 192:	Stay Success:  0.8312608596538206	Stay Failure:  0.8229212667745353
Channel 193:	Stay Success:  0.8531916261312762	Stay Failure:  0.8222129017804292
Channel 194:	Stay Success:  0.8375834925485665	Stay Failure:  0.8065927945781721
Channel 195:	Stay Success:  0.8357583063698735	Stay Failure:  0.7773448966749887
Channel 196:	Stay Success:  0.8738027484825323	Stay Failure:  0.8057257036419804
Channel 197:	Stay Success:  0.8430668979382332	Stay Failure:  0.7956163046281842
Channel 198:	Stay Success:  0.8500892534765297	Stay Failure:  0.7922483130257577
Channel 199:	Stay Success:  0.8302075232932007	Stay Failure:  0.7953322287130975
Channel 200:	Stay Success:  0.8430168031258544	Stay Failure:  0.8004967226309697
Channel 201:	Stay Success:  0.8508730603305429	Stay Failure:  0.7747634619073105
Channel 202:	Stay Success:  0.8545091131304814	Stay Failure:  0.8220814046222038
Channel 203:	Stay Success:  0.8662745110599148	Stay Failure:  0.791468075827783
Channel 204:	Stay Success:  0.8716592985823921	Stay Failure:  0.7828842335149327
Channel 205:	Stay Success:  0.826838669054773	Stay Failure:  0.7757568580123927
Channel 206:	Stay Success:  0.8745267242982268	Stay Failure:  0.8008294351719164
Channel 207:	Stay Success:  0.8428926810043511	Stay Failure:  0.7813840088489272
Channel 208:	Stay Success:  0.8312074767430457	Stay Failure:  0.8057136178349525
Channel 209:	Stay Success:  0.8463049576131901	Stay Failure:  0.8256286556433574
Channel 210:	Stay Success:  0.8527082915060601	Stay Failure:  0.8071200455478489
Channel 211:	Stay Success:  0.8442110623606001	Stay Failure:  0.7933103006607825
Channel 212:	Stay Success:  0.8660140671574709	Stay Failure:  0.787788665776761
Channel 213:	Stay Success:  0.8596834581051307	Stay Failure:  0.7898831139378756
Channel 214:	Stay Success:  0.8598038442587147	Stay Failure:  0.8251603465508669
Channel 215:	Stay Success:  0.8560340224078735	Stay Failure:  0.8035267431727275
Channel 216:	Stay Success:  0.8346861939882628	Stay Failure:  0.7954247591321831
Channel 217:	Stay Success:  0.8479771472467365	Stay Failure:  0.7878670980476632
Channel 218:	Stay Success:  0.8508455568517488	Stay Failure:  0.8055908481289962
Channel 219:	Stay Success:  0.8439608247888586	Stay Failure:  0.8137884487570871
Channel 220:	Stay Success:  0.8649251808447584	Stay Failure:  0.7868241800411793
Channel 221:	Stay Success:  0.8535018790607598	Stay Failure:  0.778109961604935
Channel 222:	Stay Success:  0.8722681414824108	Stay Failure:  0.7947716366530003
Channel 223:	Stay Success:  0.8337702798655793	Stay Failure:  0.7970789659995219
Channel 224:	Stay Success:  0.8635197484020104	Stay Failure:  0.7896671822423895
Channel 225:	Stay Success:  0.8706041331631154	Stay Failure:  0.792605373166216
Channel 226:	Stay Success:  0.8410714939846325	Stay Failure:  0.7919629947146728
Channel 227:	Stay Success:  0.8295011456196046	Stay Failure:  0.8148042746368362
Channel 228:	Stay Success:  0.8705855156434421	Stay Failure:  0.780806332134197
Channel 229:	Stay Success:  0.8398138787664353	Stay Failure:  0.7923932552982512
Channel 230:	Stay Success:  0.8397529511818133	Stay Failure:  0.7892005112022894
Channel 231:	Stay Success:  0.8259288354028451	Stay Failure:  0.7987957837251227
Channel 232:	Stay Success:  0.8751936508044454	Stay Failure:  0.8060240745986643
Channel 233:	Stay Success:  0.8508493522379118	Stay Failure:  0.8231901186349656
Channel 234:	Stay Success:  0.8437781824831818	Stay Failure:  0.811748643434392
Channel 235:	Stay Success:  0.8591191811884209	Stay Failure:  0.8116666049851127
Channel 236:	Stay Success:  0.8444462604943839	Stay Failure:  0.7911647027097486
Channel 237:	Stay Success:  0.8749062536579751	Stay Failure:  0.8220792841776106
Channel 238:	Stay Success:  0.8604348899673553	Stay Failure:  0.8159952062147249
Channel 239:	Stay Success:  0.8486708755880225	Stay Failure:  0.8031654416313768
Channel 240:	Stay Success:  0.842025253453026	Stay Failure:  0.8165705067429591
Channel 241:	Stay Success:  0.8291887418663193	Stay Failure:  0.8234857462042549
Channel 242:	Stay Success:  0.8608064759969067	Stay Failure:  0.788190002223005
Channel 243:	Stay Success:  0.8281731655576923	Stay Failure:  0.8010711796129875
Channel 244:	Stay Success:  0.8690578789388963	Stay Failure:  0.8107093903757641
Channel 245:	Stay Success:  0.8259628262181669	Stay Failure:  0.7781593302062025
Channel 246:	Stay Success:  0.8445759726694051	Stay Failure:  0.7820618873035338
Channel 247:	Stay Success:  0.8486730777892583	Stay Failure:  0.8081140687742401
Channel 248:	Stay Success:  0.8556918861593429	Stay Failure:  0.8025970228759888
Channel 249:	Stay Success:  0.827473264515644	Stay Failure:  0.7772003484359474
Channel 250:	Stay Success:  0.849527196825751	Stay Failure:  0.8231107632651439
Channel 251:	Stay Success:  0.8382553662964001	Stay Failure:  0.7929501741885928
Channel 252:	Stay Success:  0.8247753484873416	Stay Failure:  0.8247933931412551
Channel 253:	Stay Success:  0.8612515135712888	Stay Failure:  0.7935956091087957
Channel 254:	Stay Success:  0.8551975622853242	Stay Failure:  0.8221196461318852
Channel 255:	Stay Success:  0.8417497455813421	Stay Failure:  0.803278659582883
Channel 256:	Stay Success:  0.829450250164072	Stay Failure:  0.7851585258695021
Channel 257:	Stay Success:  0.8666253052708434	Stay Failure:  0.8260651854624024
Channel 258:	Stay Success:  0.8631407755966525	Stay Failure:  0.8160610564952776
Channel 259:	Stay Success:  0.8586275436781904	Stay Failure:  0.7802339130384877
Channel 260:	Stay Success:  0.8311744810466369	Stay Failure:  0.8202180036348352
Channel 261:	Stay Success:  0.8319656447549842	Stay Failure:  0.7909480558579332
Channel 262:	Stay Success:  0.8534502277117137	Stay Failure:  0.7929100270613376
Channel 263:	Stay Success:  0.8542668341808419	Stay Failure:  0.8222849582923957
Channel 264:	Stay Success:  0.873608441177237	Stay Failure:  0.8240381766633371
Channel 265:	Stay Success:  0.8396688053042042	Stay Failure:  0.791391632143067
Channel 266:	Stay Success:  0.8635059009280621	Stay Failure:  0.7887858268355092
Channel 267:	Stay Success:  0.864305252785201	Stay Failure:  0.7979974169115148
Channel 268:	Stay Success:  0.8572615686481918	Stay Failure:  0.7905482028877062
Channel 269:	Stay Success:  0.8646986483728508	Stay Failure:  0.7740256999381203
Channel 270:	Stay Success:  0.8645741235379335	Stay Failure:  0.8217536885973447
Channel 271:	Stay Success:  0.8381242865901705	Stay Failure:  0.7760339567788375
Channel 272:	Stay Success:  0.8708959731928477	Stay Failure:  0.819284552756558
Channel 273:	Stay Success:  0.8515715523101629	Stay Failure:  0.8057802337055979
Channel 274:	Stay Success:  0.8466121504785186	Stay Failure:  0.7750788545208205
Channel 275:	Stay Success:  0.8386041485107343	Stay Failure:  0.8071624272885527
Channel 276:	Stay Success:  0.8416175539810844	Stay Failure:  0.7849972621873639
Channel 277:	Stay Success:  0.8740321255501285	Stay Failure:  0.7966977960132275
Channel 278:	Stay Success:  0.8522956211522451	Stay Failure:  0.8014822426914654
Channel 279:	Stay Success:  0.8433184301296268	Stay Failure:  0.8011656150686572
Channel 280:	Stay Success:  0.8559511147491953	Stay Failure:  0.7810345435557193
Channel 281:	Stay Success:  0.865421283809616	Stay Failure:  0.7854040032210159
Channel 282:	Stay Success:  0.8719891438161754	Stay Failure:  0.7823183286570159
Channel 283:	Stay Success:  0.867935095945944	Stay Failure:  0.7918867656343814
Channel 284:	Stay Success:  0.8295162912879804	Stay Failure:  0.7970690772791025
Channel 285:	Stay Success:  0.8433071083087159	Stay Failure:  0.8144125971060726
Channel 286:	Stay Success:  0.842132707965061	Stay Failure:  0.7828321028109582
Channel 287:	Stay Success:  0.8556957942002912	Stay Failure:  0.8100135210233853
Channel 288:	Stay Success:  0.846326153683594	Stay Failure:  0.7904785902460575
Channel 289:	Stay Success:  0.855281394744714	Stay Failure:  0.815347317214145
Channel 290:	Stay Success:  0.8754069078756006	Stay Failure:  0.8036619457672435
Channel 291:	Stay Success:  0.8668104691835208	Stay Failure:  0.7758027828453038
Channel 292:	Stay Success:  0.8563471466455922	Stay Failure:  0.7951709854590987
Channel 293:	Stay Success:  0.8588568948938324	Stay Failure:  0.8220819707137008
Channel 294:	Stay Success:  0.8619654274033751	Stay Failure:  0.8095967347525582
Channel 295:	Stay Success:  0.8714575126480957	Stay Failure:  0.7746380214051725
Channel 296:	Stay Success:  0.8325904638918299	Stay Failure:  0.796028069864473
Channel 297:	Stay Success:  0.8596068350272698	Stay Failure:  0.7896424545089601
Channel 298:	Stay Success:  0.8320222593113578	Stay Failure:  0.8208582991598279
Channel 299:	Stay Success:  0.8631795686748405	Stay Failure:  0.7847315691875217
Channel 300:	Stay Success:  0.8365504710845161	Stay Failure:  0.8018116015238651
Channel 301:	Stay Success:  0.8623570834886606	Stay Failure:  0.7947912900206098
Channel 302:	Stay Success:  0.8761124066004295	Stay Failure:  0.7993102438160474
Channel 303:	Stay Success:  0.85546044352441	Stay Failure:  0.7940927715541645
Channel 304:	Stay Success:  0.8551374735732007	Stay Failure:  0.802283968895932
Channel 305:	Stay Success:  0.8662071567366648	Stay Failure:  0.789733337103977
Channel 306:	Stay Success:  0.8252430933494402	Stay Failure:  0.8260001424162814
Channel 307:	Stay Success:  0.8749841774539396	Stay Failure:  0.7832129720386136
Channel 308:	Stay Success:  0.8394795213843755	Stay Failure:  0.7891676172558638
Channel 309:	Stay Success:  0.8418244202881356	Stay Failure:  0.7852784921256312
Channel 310:	Stay Success:  0.82858225040665	Stay Failure:  0.7843043193538881
Channel 311:	Stay Success:  0.8646557724307985	Stay Failure:  0.8186925487535394
Channel 312:	Stay Success:  0.8512342887605677	Stay Failure:  0.8021093288227881
Channel 313:	Stay Success:  0.8557904058879867	Stay Failure:  0.7942372843824655
Channel 314:	Stay Success:  0.8379994089844092	Stay Failure:  0.7989062102995841
Channel 315:	Stay Success:  0.8262013835745502	Stay Failure:  0.7902874357387292
Channel 316:	Stay Success:  0.8488755349189951	Stay Failure:  0.8208703799478985
Channel 317:	Stay Success:  0.8412484067082959	Stay Failure:  0.7857485421839493
Channel 318:	Stay Success:  0.8693008772022619	Stay Failure:  0.8026241596200647
Channel 319:	Stay Success:  0.8698473674071299	Stay Failure:  0.7883378360954072
Channel 320:	Stay Success:  0.8621388848440178	Stay Failure:  0.7759183041184065
Channel 321:	Stay Success:  0.8394718631030772	Stay Failure:  0.7772114865250619
Channel 322:	Stay Success:  0.8309164132334887	Stay Failure:  0.7860571322993777
Channel 323:	Stay Success:  0.8730691474440866	Stay Failure:  0.8160613640107808
Channel 324:	Stay Success:  0.8693185540996456	Stay Failure:  0.8204040788766596
Channel 325:	Stay Success:  0.8396251356304718	Stay Failure:  0.8113541115619944
Channel 326:	Stay Success:  0.8426816115292696	Stay Failure:  0.7897634964454551
Channel 327:	Stay Success:  0.8334711589567827	Stay Failure:  0.821672648565339
Channel 328:	Stay Success:  0.8652569256568474	Stay Failure:  0.813699216673071
Channel 329:	Stay Success:  0.8287933259461918	Stay Failure:  0.7800677327704211
Channel 330:	Stay Success:  0.8644627132227313	Stay Failure:  0.8053716072337116
Channel 331:	Stay Success:  0.8272803817728661	Stay Failure:  0.7990517668185315
Channel 332:	Stay Success:  0.8319955401023378	Stay Failure:  0.7766481997067879
Channel 333:	Stay Success:  0.8504542523852267	Stay Failure:  0.8020451899624742
Channel 334:	Stay Success:  0.8246151781538221	Stay Failure:  0.7855742276011163
Channel 335:	Stay Success:  0.843713566304967	Stay Failure:  0.7756857753843555
Channel 336:	Stay Success:  0.864887198376481	Stay Failure:  0.7942355254307882
Channel 337:	Stay Success:  0.8266729652447018	Stay Failure:  0.803276853788848
Channel 338:	Stay Success:  0.8611880659141149	Stay Failure:  0.7804498245657502
Channel 339:	Stay Success:  0.8321487742133726	Stay Failure:  0.8036867071932084
Channel 340:	Stay Success:  0.8711735520822121	Stay Failure:  0.8111901321691131
Channel 341:	Stay Success:  0.8444457064310803	Stay Failure:  0.8121371166822062
Channel 342:	Stay Success:  0.8339604126709999	Stay Failure:  0.7771247904778358
Channel 343:	Stay Success:  0.8393278878752558	Stay Failure:  0.8094712844560212
Channel 344:	Stay Success:  0.8562476759368147	Stay Failure:  0.8162591810931259
Channel 345:	Stay Success:  0.8514995363161963	Stay Failure:  0.8018080907378875
Channel 346:	Stay Success:  0.838294014262229	Stay Failure:  0.8229226348537454
Channel 347:	Stay Success:  0.8655078559225192	Stay Failure:  0.7752818835769241
Channel 348:	Stay Success:  0.835913190510024	Stay Failure:  0.8088748448142383
